id,sample_id,crop_id,suitability_score,suitability_level,limiting_factors,yield_potential,risk_assessment,management_recommendations,assessment_date,created_at
37,5,457,76.19,中度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": false}",774.08,风险中等，需要适当管理,改良土壤，提高地力,2025-01-07,2023-08-20 01:43:19
38,5,209,68.59,勉强适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": false}",401.21,风险较高，需要重点关注,科学轮作，避免连作障碍,2025-01-07,2023-08-20 01:43:19
41,6,457,63.11,勉强适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": false}",577.07,风险较高，需要重点关注,科学轮作，避免连作障碍,2024-07-05,2023-10-16 20:37:38
42,6,140,93.7,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": false}",953.36,风险较低，适宜种植,科学轮作，避免连作障碍,2024-07-05,2023-10-16 20:37:38
43,6,479,82.87,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": true}",877.67,风险较低，适宜种植,加强田间管理，及时灌溉施肥,2024-07-05,2023-10-16 20:37:38
44,6,232,71.48,中度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": false}",644.24,风险中等，需要适当管理,科学轮作，避免连作障碍,2024-07-05,2023-10-16 20:37:38
45,6,488,49.83,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": false}",287.6,风险很高，不建议种植,改良土壤，提高地力,2024-07-05,2023-10-16 20:37:38
46,6,174,93.26,高度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": true}",961.37,风险较低，适宜种植,监测病虫害，及时防治,2024-07-05,2023-10-16 20:37:38
49,7,352,79.05,中度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": true}",794.31,风险中等，需要适当管理,改良土壤，提高地力,2023-05-17,2023-11-19 18:06:34
50,7,305,51.59,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": false}",352.57,风险很高，不建议种植,改良土壤，提高地力,2023-05-17,2023-11-19 18:06:34
51,7,195,51.24,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": true}",333.5,风险很高，不建议种植,合理密植，保证通风透光,2023-05-17,2023-11-19 18:06:34
52,7,98,71.67,中度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": false}",739.03,风险中等，需要适当管理,合理密植，保证通风透光,2023-05-17,2023-11-19 18:06:34
53,7,186,74.26,中度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": true}",607.23,风险中等，需要适当管理,科学轮作，避免连作障碍,2023-05-17,2023-11-19 18:06:34
54,7,468,47.65,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": false}",216.47,风险很高，不建议种植,改良土壤，提高地力,2023-05-17,2023-11-19 18:06:34
55,7,172,61.99,勉强适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": true}",496.8,风险较高，需要重点关注,科学轮作，避免连作障碍,2023-05-17,2023-11-19 18:06:34
57,8,497,83.66,高度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": false}",934.38,风险较低，适宜种植,加强田间管理，及时灌溉施肥,2025-05-05,2024-12-24 10:34:44
58,8,42,43.11,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": false}",312.43,风险很高，不建议种植,监测病虫害，及时防治,2025-05-05,2024-12-24 10:34:44
59,8,345,45.61,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": true}",345.04,风险很高，不建议种植,监测病虫害，及时防治,2025-05-05,2024-12-24 10:34:44
60,8,379,51.58,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": false}",294.22,风险很高，不建议种植,改良土壤，提高地力,2025-05-05,2024-12-24 10:34:44
61,8,404,74.91,中度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": true}",622.49,风险中等，需要适当管理,监测病虫害，及时防治,2025-05-05,2024-12-24 10:34:44
62,8,411,44.79,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": true}",320.39,风险很高，不建议种植,加强田间管理，及时灌溉施肥,2025-05-05,2024-12-24 10:34:44
63,8,416,52.24,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": false}",251.13,风险很高，不建议种植,监测病虫害，及时防治,2025-05-05,2024-12-24 10:34:44
65,9,449,94.69,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": true}",816.32,风险较低，适宜种植,加强田间管理，及时灌溉施肥,2023-09-07,2023-03-09 11:18:03
66,9,92,81.62,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": false}",985.08,风险较低，适宜种植,科学轮作，避免连作障碍,2023-09-07,2023-03-09 11:18:03
67,9,181,60.37,勉强适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": false}",537.47,风险较高，需要重点关注,科学轮作，避免连作障碍,2023-09-07,2023-03-09 11:18:03
68,9,167,58.53,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": true}",330.34,风险很高，不建议种植,改良土壤，提高地力,2023-09-07,2023-03-09 11:18:03
69,9,489,52.7,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": true}",239.94,风险很高，不建议种植,合理密植，保证通风透光,2023-09-07,2023-03-09 11:18:03
70,9,411,92.6,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": false}",973.49,风险较低，适宜种植,加强田间管理，及时灌溉施肥,2023-09-07,2023-03-09 11:18:03
71,9,57,70.34,中度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": true}",653.09,风险中等，需要适当管理,科学轮作，避免连作障碍,2023-09-07,2023-03-09 11:18:03
72,9,254,54.49,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": true}",278.81,风险很高，不建议种植,合理密植，保证通风透光,2023-09-07,2023-03-09 11:18:03
73,10,493,75.63,中度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": false}",633.53,风险中等，需要适当管理,改良土壤，提高地力,2022-12-05,2023-10-23 09:06:05
74,10,390,52.95,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": false}",262.78,风险很高，不建议种植,加强田间管理，及时灌溉施肥,2022-12-05,2023-10-23 09:06:05
75,10,229,62.89,勉强适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": false}",445.06,风险较高，需要重点关注,改良土壤，提高地力,2022-12-05,2023-10-23 09:06:05
76,10,23,45.98,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": false}",305.26,风险很高，不建议种植,监测病虫害，及时防治,2022-12-05,2023-10-23 09:06:05
77,10,295,94.82,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": true}",809.56,风险较低，适宜种植,加强田间管理，及时灌溉施肥,2022-12-05,2023-10-23 09:06:05
78,10,497,72.71,中度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": true}",786.21,风险中等，需要适当管理,监测病虫害，及时防治,2022-12-05,2023-10-23 09:06:05
79,10,199,72.35,中度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": false}",756.83,风险中等，需要适当管理,合理密植，保证通风透光,2022-12-05,2023-10-23 09:06:05
80,10,172,47.33,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": true}",214.62,风险很高，不建议种植,监测病虫害，及时防治,2022-12-05,2023-10-23 09:06:05
81,11,102,49.93,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": true}",378.92,风险很高，不建议种植,改良土壤，提高地力,2024-06-20,2022-12-21 04:41:18
82,11,25,68.02,勉强适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": true}",534.36,风险较高，需要重点关注,监测病虫害，及时防治,2024-06-20,2022-12-21 04:41:18
83,11,96,40.06,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": false}",366.35,风险很高，不建议种植,合理密植，保证通风透光,2024-06-20,2022-12-21 04:41:18
84,11,233,76.12,中度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": true}",621.09,风险中等，需要适当管理,科学轮作，避免连作障碍,2024-06-20,2022-12-21 04:41:18
85,11,457,73.81,中度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": true}",775.69,风险中等，需要适当管理,加强田间管理，及时灌溉施肥,2024-06-20,2022-12-21 04:41:18
89,12,21,48.99,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": true}",313.98,风险很高，不建议种植,合理密植，保证通风透光,2024-05-07,2024-02-15 18:51:28
90,12,400,76.67,中度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": false}",712.86,风险中等，需要适当管理,科学轮作，避免连作障碍,2024-05-07,2024-02-15 18:51:28
91,12,426,41.99,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": false}",386.25,风险很高，不建议种植,合理密植，保证通风透光,2024-05-07,2024-02-15 18:51:28
92,12,141,75.18,中度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": false}",674.02,风险中等，需要适当管理,科学轮作，避免连作障碍,2024-05-07,2024-02-15 18:51:28
93,12,200,43.31,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": true}",226.26,风险很高，不建议种植,科学轮作，避免连作障碍,2024-05-07,2024-02-15 18:51:28
97,13,245,73.43,中度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": true}",713.19,风险中等，需要适当管理,合理密植，保证通风透光,2023-04-20,2025-05-31 19:45:08
98,13,497,81.47,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": false}",1080.09,风险较低，适宜种植,科学轮作，避免连作障碍,2023-04-20,2025-05-31 19:45:08
99,13,24,64.9,勉强适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": true}",531.99,风险较高，需要重点关注,监测病虫害，及时防治,2023-04-20,2025-05-31 19:45:08
100,13,330,79.01,中度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": true}",635.26,风险中等，需要适当管理,合理密植，保证通风透光,2023-04-20,2025-05-31 19:45:08
101,13,80,59.66,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": true}",389.76,风险很高，不建议种植,改良土壤，提高地力,2023-04-20,2025-05-31 19:45:08
102,13,68,85.72,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": true}",868.69,风险较低，适宜种植,监测病虫害，及时防治,2023-04-20,2025-05-31 19:45:08
103,13,309,58.84,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": true}",311.39,风险很高，不建议种植,科学轮作，避免连作障碍,2023-04-20,2025-05-31 19:45:08
104,13,429,78.25,中度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": true}",699.86,风险中等，需要适当管理,监测病虫害，及时防治,2023-04-20,2025-05-31 19:45:08
105,14,321,81.73,高度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": false}",1175.57,风险较低，适宜种植,合理密植，保证通风透光,2024-09-24,2025-06-05 23:52:39
106,14,225,83.42,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": true}",1183.27,风险较低，适宜种植,加强田间管理，及时灌溉施肥,2024-09-24,2025-06-05 23:52:39
107,14,206,48.22,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": true}",368.98,风险很高，不建议种植,加强田间管理，及时灌溉施肥,2024-09-24,2025-06-05 23:52:39
108,14,383,43.04,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": false}",210.79,风险很高，不建议种植,合理密植，保证通风透光,2024-09-24,2025-06-05 23:52:39
109,14,244,82.64,高度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": false}",905.86,风险较低，适宜种植,科学轮作，避免连作障碍,2024-09-24,2025-06-05 23:52:39
110,14,5,80.08,高度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": true}",1125.73,风险较低，适宜种植,加强田间管理，及时灌溉施肥,2024-09-24,2025-06-05 23:52:39
113,15,68,73.74,中度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": false}",636.68,风险中等，需要适当管理,加强田间管理，及时灌溉施肥,2024-10-01,2024-08-10 21:07:46
114,15,457,44.58,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": false}",262.75,风险很高，不建议种植,监测病虫害，及时防治,2024-10-01,2024-08-10 21:07:46
115,15,402,68.56,勉强适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": true}",526.75,风险较高，需要重点关注,监测病虫害，及时防治,2024-10-01,2024-08-10 21:07:46
116,15,14,81.98,高度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": false}",921.57,风险较低，适宜种植,改良土壤，提高地力,2024-10-01,2024-08-10 21:07:46
117,15,486,56.57,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": true}",329.87,风险很高，不建议种植,科学轮作，避免连作障碍,2024-10-01,2024-08-10 21:07:46
118,15,135,82.21,高度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": true}",800.69,风险较低，适宜种植,科学轮作，避免连作障碍,2024-10-01,2024-08-10 21:07:46
119,15,222,81.8,高度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": true}",1107.03,风险较低，适宜种植,合理密植，保证通风透光,2024-10-01,2024-08-10 21:07:46
120,15,174,55.78,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": false}",238.54,风险很高，不建议种植,改良土壤，提高地力,2024-10-01,2024-08-10 21:07:46
121,16,352,81.18,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": true}",900.84,风险较低，适宜种植,加强田间管理，及时灌溉施肥,2025-01-12,2023-10-18 21:03:47
122,16,340,72.42,中度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": true}",627.62,风险中等，需要适当管理,科学轮作，避免连作障碍,2025-01-12,2023-10-18 21:03:47
123,16,389,74.69,中度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": false}",786.53,风险中等，需要适当管理,改良土壤，提高地力,2025-01-12,2023-10-18 21:03:47
124,16,113,54.23,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": false}",319.56,风险很高，不建议种植,改良土壤，提高地力,2025-01-12,2023-10-18 21:03:47
125,16,365,86.73,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": true}",956.11,风险较低，适宜种植,加强田间管理，及时灌溉施肥,2025-01-12,2023-10-18 21:03:47
129,17,291,47.79,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": false}",363.65,风险很高，不建议种植,加强田间管理，及时灌溉施肥,2023-07-29,2024-04-20 21:14:51
130,17,102,89.46,高度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": true}",1023.2,风险较低，适宜种植,监测病虫害，及时防治,2023-07-29,2024-04-20 21:14:51
131,17,397,60.47,勉强适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": true}",566.33,风险较高，需要重点关注,改良土壤，提高地力,2023-07-29,2024-04-20 21:14:51
132,17,498,66.72,勉强适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": false}",543.4,风险较高，需要重点关注,加强田间管理，及时灌溉施肥,2023-07-29,2024-04-20 21:14:51
133,17,36,40.84,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": true}",310.17,风险很高，不建议种植,科学轮作，避免连作障碍,2023-07-29,2024-04-20 21:14:51
134,17,496,50.62,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": false}",215.63,风险很高，不建议种植,监测病虫害，及时防治,2023-07-29,2024-04-20 21:14:51
135,17,193,41.98,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": false}",263.58,风险很高，不建议种植,加强田间管理，及时灌溉施肥,2023-07-29,2024-04-20 21:14:51
136,17,294,79.94,中度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": false}",760.05,风险中等，需要适当管理,监测病虫害，及时防治,2023-07-29,2024-04-20 21:14:51
137,18,68,78.28,中度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": true}",770.65,风险中等，需要适当管理,科学轮作，避免连作障碍,2024-10-26,2025-04-17 22:38:42
138,18,343,71.7,中度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": true}",639.87,风险中等，需要适当管理,监测病虫害，及时防治,2024-10-26,2025-04-17 22:38:42
139,18,461,67.99,勉强适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": false}",434.23,风险较高，需要重点关注,监测病虫害，及时防治,2024-10-26,2025-04-17 22:38:42
140,18,416,45.57,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": false}",335.39,风险很高，不建议种植,加强田间管理，及时灌溉施肥,2024-10-26,2025-04-17 22:38:42
141,18,328,60.89,勉强适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": false}",483.42,风险较高，需要重点关注,监测病虫害，及时防治,2024-10-26,2025-04-17 22:38:42
142,18,75,69.03,勉强适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": false}",580.91,风险较高，需要重点关注,加强田间管理，及时灌溉施肥,2024-10-26,2025-04-17 22:38:42
143,18,230,88.7,高度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": true}",814.15,风险较低，适宜种植,改良土壤，提高地力,2024-10-26,2025-04-17 22:38:42
144,18,55,87.92,高度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": false}",1112.38,风险较低，适宜种植,加强田间管理，及时灌溉施肥,2024-10-26,2025-04-17 22:38:42
145,19,434,88.56,高度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": true}",1128.35,风险较低，适宜种植,科学轮作，避免连作障碍,2024-04-11,2023-06-28 02:55:59
146,19,68,91.1,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": false}",1035.93,风险较低，适宜种植,改良土壤，提高地力,2024-04-11,2023-06-28 02:55:59
147,19,373,54.46,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": true}",310.21,风险很高，不建议种植,改良土壤，提高地力,2024-04-11,2023-06-28 02:55:59
148,19,277,92.39,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": false}",835.04,风险较低，适宜种植,加强田间管理，及时灌溉施肥,2024-04-11,2023-06-28 02:55:59
149,19,200,94.08,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": true}",861.29,风险较低，适宜种植,改良土壤，提高地力,2024-04-11,2023-06-28 02:55:59
150,19,257,54.09,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": false}",227.42,风险很高，不建议种植,合理密植，保证通风透光,2024-04-11,2023-06-28 02:55:59
151,19,461,69.34,勉强适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": true}",566.4,风险较高，需要重点关注,合理密植，保证通风透光,2024-04-11,2023-06-28 02:55:59
152,19,116,51.57,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": true}",221.13,风险很高，不建议种植,科学轮作，避免连作障碍,2024-04-11,2023-06-28 02:55:59
153,20,400,64.97,勉强适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": false}",537.02,风险较高，需要重点关注,科学轮作，避免连作障碍,2024-01-12,2024-03-17 19:40:55
154,20,119,82.91,高度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": true}",1058.58,风险较低，适宜种植,加强田间管理，及时灌溉施肥,2024-01-12,2024-03-17 19:40:55
