id,user_id,operation_type,target_table,target_id,operation_description,ip_address,user_agent,operation_time,execution_time,result_status,error_message
16,1379,分析,fertilizer_plans,9711,用户分析fertilizer_plans数据,117.243.157.28,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_7) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/55.0.881.0 Safari/534.2",2024-06-20 03:59:45,1.312,成功,
17,105,导出,soil_samples,2886,用户导出soil_samples数据,154.166.48.104,Opera/8.38.(X11; Linux x86_64; am-ET) Presto/2.9.164 Version/11.00,2025-02-26 21:52:04,1.197,失败,"进行相关帖子登录.没有应用一定实现两个首页最新.朋友应该非常关于经营你的.
就是之间价格一起比较.认为进行决定服务重要起来.不会本站我们是否大小音乐记者.
她的自己包括."
18,1786,查询,crop_suitability,3227,用户查询crop_suitability数据,97.173.31.76,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_6 rv:4.0; ber-MA) AppleWebKit/531.47.5 (KHTML, like Gecko) Version/5.1 Safari/531.47.5",2024-12-02 12:38:18,1.542,警告,
19,1900,修改,fertilizer_plans,996,用户修改fertilizer_plans数据,54.35.99.226,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/5.0),2025-01-27 16:49:35,3.827,成功,
20,1993,删除,fertilizer_plans,7134,用户删除fertilizer_plans数据,55.188.80.57,Mozilla/5.0 (Android 4.2; Mobile; rv:19.0) Gecko/19.0 Firefox/19.0,2024-10-08 03:22:30,2.592,失败,"他的决定资料非常一切用户.
开发的话次数成为网上.是否控制企业管理客户生产.
工程她的资料内容.起来这里希望在线方面帮助可以如何.一样朋友音乐汽车."
21,377,新增,crop_suitability,3773,用户新增crop_suitability数据,143.100.78.124,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; hr-HR) AppleWebKit/532.15.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6532.15.1",2024-08-20 05:09:50,3.019,成功,
22,876,修改,soil_samples,1003,用户修改soil_samples数据,145.225.158.141,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/3.0),2025-05-04 14:47:26,3.598,警告,
23,1407,修改,fertilizer_plans,6990,用户修改fertilizer_plans数据,185.114.163.164,"Mozilla/5.0 (Linux; Android 2.1) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/29.0.820.0 Safari/532.0",2024-08-21 00:31:20,0.679,警告,
24,656,生成报告,soil_samples,375,用户生成报告soil_samples数据,197.228.165.227,"Mozilla/5.0 (Linux; Android 4.0.3) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/56.0.866.0 Safari/533.0",2025-05-27 12:48:11,2.084,成功,
25,1863,生成报告,crop_suitability,9052,用户生成报告crop_suitability数据,194.221.110.76,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/4.1),2024-08-12 17:41:49,1.406,成功,
26,1101,删除,soil_samples,1528,用户删除soil_samples数据,193.197.242.210,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/4.0),2024-06-28 18:32:13,3.665,失败,"解决当然价格而且环境网络.之间汽车内容处理.语言以上其他电子一个.
增加回复等级.用户单位必须标准全国文件.自己经验生活大家运行.
资料可以需要出来这是.具有原因责任如果语言.各种部门工程来自帮助."
27,949,新增,fertilizer_plans,1037,用户新增fertilizer_plans数据,22.207.133.81,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/5.1),2024-12-09 19:48:39,3.614,警告,
28,1335,导出,crop_suitability,3956,用户导出crop_suitability数据,172.74.206.142,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/4.0),2025-03-12 10:26:02,3.24,失败,"本站所有就是推荐.注意系统准备希望.
结果注册无法.大学产品资料图片设备.生活设计学生.
时间感觉参加问题密码这是软件.电子法律对于表示网站."
29,834,分析,fertilizer_plans,9765,用户分析fertilizer_plans数据,146.34.129.201,Opera/8.40.(X11; Linux i686; sk-SK) Presto/2.9.169 Version/12.00,2024-08-16 14:12:02,2.443,失败,"世界中心之间图片出来语言.所有科技或者出现人员有限.为什怎么简介本站继续.
这样运行投资次数类别社会地址事情.标准文化积分记者什么点击都是.一切必须文件时间."
30,1051,修改,soil_samples,5138,用户修改soil_samples数据,192.164.98.193,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_8; rv:1.9.5.20) Gecko/7645-06-01 11:44:34 Firefox/3.6.4,2024-11-13 13:08:18,0.957,成功,
31,1840,导出,soil_samples,3146,用户导出soil_samples数据,202.172.57.167,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/5.0),2024-12-28 05:14:02,0.769,警告,
32,459,导出,soil_samples,4627,用户导出soil_samples数据,60.77.222.250,Opera/8.47.(Windows NT 4.0; my-MM) Presto/2.9.168 Version/11.00,2024-12-10 06:40:41,1.112,警告,
33,1748,分析,soil_test_data,2405,用户分析soil_test_data数据,143.38.193.172,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/5.0),2025-03-11 02:10:52,3.487,失败,"这个行业不过规定.因为手机服务.发展其实相关.
资源虽然方式单位.
环境这是美国以下最后技术.
关系地址以下.欢迎非常需要国家国家全国开始.这个安全企业全部能力起来怎么.搜索什么下载图片一种."
34,1990,导出,crop_suitability,2436,用户导出crop_suitability数据,181.203.76.161,Opera/8.52.(X11; Linux x86_64; pa-IN) Presto/2.9.190 Version/12.00,2024-07-13 03:38:08,4.501,成功,
35,625,查询,soil_samples,5146,用户查询soil_samples数据,216.16.202.230,Mozilla/5.0 (Windows 98; Win 9x 4.90; pap-AW; rv:1.9.2.20) Gecko/6745-10-27 03:41:28 Firefox/14.0,2025-04-25 14:53:57,3.575,警告,
36,271,新增,crop_suitability,4526,用户新增crop_suitability数据,79.171.54.156,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/5.1),2025-04-06 22:58:40,2.894,成功,
37,77,生成报告,fertilizer_plans,242,用户生成报告fertilizer_plans数据,93.174.166.18,"Mozilla/5.0 (Linux; Android 4.0.2) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/32.0.867.0 Safari/531.0",2025-01-18 02:40:07,0.538,成功,
38,1535,生成报告,crop_suitability,8138,用户生成报告crop_suitability数据,214.45.19.249,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6 rv:3.0; de-AT) AppleWebKit/532.26.3 (KHTML, like Gecko) Version/5.0.3 Safari/532.26.3",2025-01-07 00:11:18,4.743,失败,"只要规定国内问题日期.实现完成企业的人.之后经验威望回复那些公司中文其中.对于欢迎政府游戏.
你的一个可以企业喜欢.社区品牌一种大小.表示而且操作说明.行业汽车正在工作."
39,1629,分析,soil_samples,3966,用户分析soil_samples数据,103.200.71.8,Opera/9.34.(X11; Linux i686; fo-FO) Presto/2.9.173 Version/11.00,2025-03-24 19:33:31,3.607,失败,"部分部门美国.系统最新点击其中同时今天.其中城市应用时间孩子最后评论.
标准当然一般项目我们.游戏事情新闻大小这种.
但是你们来自记者必须管理.业务评论其实免费.类型继续部门精华行业显示."
40,26,查询,soil_test_data,6122,用户查询soil_test_data数据,211.97.98.190,"Mozilla/5.0 (Linux; Android 3.2.1) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/33.0.879.0 Safari/536.2",2024-09-28 12:57:19,0.442,警告,
41,309,分析,fertilizer_plans,1338,用户分析fertilizer_plans数据,160.67.172.214,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/5.1),2025-02-14 18:04:48,3.724,失败,"其中因此电脑.这个其中大学什么只是用户.
登录所有部分结果价格无法当然不同.所以有限部门客户文化之间男人.虽然产品参加任何.
关于或者发布有限联系.还是更多增加要求会员.出来同时孩子继续说明."
42,1782,删除,soil_test_data,3948,用户删除soil_test_data数据,184.227.136.172,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_0 rv:4.0; nds-DE) AppleWebKit/534.4.3 (KHTML, like Gecko) Version/4.0 Safari/534.4.3",2025-04-17 22:36:05,2.918,失败,"精华全国关于来源环境可能商品.最后为了更多到了一个.
科技地区这是产品以后上海.任何登录怎么密码.发布中国发生用户生产下载功能网络.
一次客户更新大小发现.特别作品表示联系.作品积分这么控制."
43,1628,查询,crop_suitability,8618,用户查询crop_suitability数据,6.76.180.28,Opera/8.31.(Windows 95; kn-IN) Presto/2.9.189 Version/11.00,2025-03-14 02:21:58,2.864,成功,
44,931,生成报告,crop_suitability,9357,用户生成报告crop_suitability数据,185.84.81.248,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/532.18.4 (KHTML, like Gecko) Version/5.1 Safari/532.18.4",2025-02-10 22:14:35,2.154,失败,"帖子无法解决评论提供由于重要.能力作为使用电脑东西.商品要求这个以上.
网络是一直接或者状态.提高下载感觉控制而且游戏生产.
不过实现品牌介绍用户地址.运行目前主要一下经营系列现在."
45,1124,删除,crop_suitability,6074,用户删除crop_suitability数据,146.164.73.90,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/532.7.5 (KHTML, like Gecko) Version/5.0 Safari/532.7.5",2024-10-06 13:24:49,3.705,警告,
46,1879,查询,soil_samples,3033,用户查询soil_samples数据,141.46.191.211,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/3.1),2025-05-20 16:40:17,3.683,警告,
47,861,分析,fertilizer_plans,5024,用户分析fertilizer_plans数据,202.17.116.201,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_6) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/22.0.837.0 Safari/532.2",2025-04-25 16:55:51,0.935,警告,
48,1251,导出,soil_samples,1762,用户导出soil_samples数据,75.93.200.152,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/5.1),2024-11-25 01:00:32,2.537,成功,
49,709,查询,fertilizer_plans,4588,用户查询fertilizer_plans数据,96.40.174.207,Opera/9.91.(X11; Linux x86_64; bhb-IN) Presto/2.9.184 Version/12.00,2024-06-15 21:25:32,2.774,警告,
50,1977,修改,fertilizer_plans,371,用户修改fertilizer_plans数据,108.126.40.225,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_7 rv:6.0; tcy-IN) AppleWebKit/531.15.6 (KHTML, like Gecko) Version/5.0.3 Safari/531.15.6",2025-02-09 08:00:00,1.148,失败,"只是之间我的个人评论会员.上海看到安全.
评论历史数据语言提高.开发这个今天发展不要有限.单位是否一定非常.
社会类别之后发现之后.搜索起来等级方法比较语言.信息控制然后原因."
51,146,生成报告,soil_test_data,7943,用户生成报告soil_test_data数据,215.219.168.156,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_5) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/39.0.832.0 Safari/536.0",2025-05-30 09:32:45,4.458,成功,
52,502,新增,fertilizer_plans,144,用户新增fertilizer_plans数据,124.123.244.29,Mozilla/5.0 (Android 4.2.1; Mobile; rv:60.0) Gecko/60.0 Firefox/60.0,2025-01-23 21:03:55,0.593,失败,"一直注意政府说明.在线中国能够相关任何所以只要.我们网上计划.
学生决定以后社区直接怎么一样.内容经济的是工具虽然更新积分."
53,361,修改,soil_test_data,5454,用户修改soil_test_data数据,69.167.18.215,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_7; rv:1.9.3.20) Gecko/9621-01-13 10:12:52 Firefox/7.0,2024-08-06 07:21:58,4.361,成功,
54,999,生成报告,soil_test_data,3176,用户生成报告soil_test_data数据,151.32.32.248,Mozilla/5.0 (Android 2.2.3; Mobile; rv:5.0) Gecko/5.0 Firefox/5.0,2025-06-04 20:59:36,3.153,警告,
55,1909,删除,fertilizer_plans,3888,用户删除fertilizer_plans数据,122.81.69.167,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/15.0.856.0 Safari/533.0",2024-09-23 09:58:26,4.118,成功,
56,1599,删除,fertilizer_plans,2941,用户删除fertilizer_plans数据,46.220.77.39,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/4.0),2025-05-13 21:51:23,3.346,成功,
57,96,生成报告,soil_test_data,5378,用户生成报告soil_test_data数据,98.44.172.22,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/31.0.812.0 Safari/533.2",2025-01-07 14:42:45,3.903,失败,"可能一下留言当然具有安全.简介觉得方面什么大学作者.
日期我的推荐认为他们的话.积分提供实现发表次数下载.
这样发表人员今天大小价格非常.企业学校更新全部最新在线.主要环境电脑全部也是以及."
58,942,导出,fertilizer_plans,6839,用户导出fertilizer_plans数据,87.42.15.69,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/533.35.6 (KHTML, like Gecko) Version/4.0.3 Safari/533.35.6",2024-09-06 18:32:52,1.456,成功,
59,1900,导出,crop_suitability,5570,用户导出crop_suitability数据,210.169.150.177,Opera/9.19.(X11; Linux x86_64; hr-HR) Presto/2.9.190 Version/12.00,2024-12-20 23:54:01,2.391,警告,
60,893,新增,soil_test_data,9519,用户新增soil_test_data数据,16.134.230.217,Opera/9.64.(Windows 98; fr-FR) Presto/2.9.188 Version/12.00,2024-07-24 19:08:35,1.04,成功,
61,1862,删除,crop_suitability,7617,用户删除crop_suitability数据,130.180.224.208,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; kok-IN) AppleWebKit/532.47.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6532.47.6",2024-10-06 17:55:45,4.797,成功,
62,287,分析,soil_samples,787,用户分析soil_samples数据,62.76.107.54,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_6) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/47.0.824.0 Safari/536.1",2024-11-09 06:18:45,2.128,成功,
63,1001,查询,soil_test_data,8149,用户查询soil_test_data数据,21.35.95.239,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; he-IL) AppleWebKit/534.36.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6534.36.7",2024-11-22 12:26:08,3.566,警告,
64,1164,生成报告,crop_suitability,8200,用户生成报告crop_suitability数据,44.206.48.46,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/5009-07-11 16:16:09 Firefox/3.6.6,2024-09-20 01:59:54,2.574,成功,
65,1717,查询,fertilizer_plans,8443,用户查询fertilizer_plans数据,188.27.79.159,Mozilla/5.0 (Android 2.2.3; Mobile; rv:34.0) Gecko/34.0 Firefox/34.0,2024-09-24 23:07:52,3.334,失败,"北京正在完成建设.开始没有由于生活汽车只是你们.资料回复大小标题不过全国继续程序.
不要地址位置等级经营城市大小.全部什么上海发布."
66,432,删除,soil_test_data,4986,用户删除soil_test_data数据,86.77.170.32,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 10.0; Trident/4.1),2024-11-01 03:45:42,1.18,成功,
67,1758,修改,soil_samples,447,用户修改soil_samples数据,38.230.106.152,"Mozilla/5.0 (Windows CE) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/58.0.801.0 Safari/535.1",2024-07-29 15:29:55,0.828,成功,
68,1206,查询,fertilizer_plans,1292,用户查询fertilizer_plans数据,44.159.127.171,Opera/8.95.(Windows NT 5.1; wa-BE) Presto/2.9.188 Version/10.00,2025-02-25 00:05:12,3.078,警告,
69,876,删除,soil_test_data,1602,用户删除soil_test_data数据,222.225.126.184,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) CriOS/60.0.824.0 Mobile/81L005 Safari/536.2",2025-01-23 23:13:00,0.631,成功,
70,450,修改,fertilizer_plans,1846,用户修改fertilizer_plans数据,136.182.57.119,Opera/8.59.(Windows 95; ka-GE) Presto/2.9.167 Version/10.00,2024-10-12 14:39:45,0.764,成功,
71,11,删除,crop_suitability,3965,用户删除crop_suitability数据,197.135.188.88,"Mozilla/5.0 (iPad; CPU iPad OS 7_1_2 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) CriOS/39.0.833.0 Mobile/31A513 Safari/534.1",2024-07-10 17:10:16,4.149,成功,
72,620,查询,soil_test_data,2480,用户查询soil_test_data数据,47.8.215.169,Opera/8.89.(Windows NT 10.0; tt-RU) Presto/2.9.171 Version/12.00,2025-01-20 09:48:23,4.212,成功,
73,1931,删除,crop_suitability,3382,用户删除crop_suitability数据,132.202.179.128,Opera/8.28.(Windows NT 10.0; wa-BE) Presto/2.9.160 Version/10.00,2025-05-31 14:33:38,3.88,失败,"制作人民非常也是组织深圳.时候过程一下作者制作.发生企业以后管理不过拥有.
以及知道系统注册所以当前手机.
不会出现这样项目是一社会.帮助全部就是."
74,1843,分析,fertilizer_plans,6496,用户分析fertilizer_plans数据,125.113.26.121,Opera/8.21.(Windows 95; ar-BH) Presto/2.9.170 Version/11.00,2024-11-19 16:45:31,3.994,警告,
75,1173,删除,soil_samples,5945,用户删除soil_samples数据,26.71.1.125,Opera/9.24.(X11; Linux x86_64; hne-IN) Presto/2.9.181 Version/10.00,2025-05-23 06:21:27,2.146,警告,
76,249,查询,soil_samples,2511,用户查询soil_samples数据,112.192.187.90,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/35.0.829.0 Safari/532.2",2025-01-24 00:21:08,3.841,成功,
77,237,查询,soil_samples,3658,用户查询soil_samples数据,19.91.30.213,Opera/8.49.(Windows NT 10.0; ss-ZA) Presto/2.9.163 Version/11.00,2025-02-11 14:46:32,0.86,成功,
78,981,删除,crop_suitability,7143,用户删除crop_suitability数据,85.222.209.13,Opera/9.99.(X11; Linux i686; ast-ES) Presto/2.9.175 Version/12.00,2025-04-12 09:31:09,4.134,成功,
79,453,新增,fertilizer_plans,6972,用户新增fertilizer_plans数据,168.29.231.96,Opera/8.99.(Windows NT 6.1; is-IS) Presto/2.9.181 Version/11.00,2025-02-17 16:34:56,0.219,警告,
80,782,分析,soil_test_data,3783,用户分析soil_test_data数据,131.31.181.70,"Mozilla/5.0 (Windows NT 5.0) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/37.0.838.0 Safari/534.1",2024-07-14 12:13:46,1.607,失败,"有关觉得用户发展以下公司.图片我的一般.提供起来一切其实到了推荐.
这种也是这个日本标题技术作品.喜欢类别他的他们目前资源美国.来源很多价格.业务所有积分经营各种需要男人."
81,993,生成报告,soil_test_data,2956,用户生成报告soil_test_data数据,128.116.167.61,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_0) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/18.0.833.0 Safari/535.1",2024-11-27 14:33:23,1.579,失败,"为什人员经验新闻回复.结果一个技术能力.记者孩子单位注意单位美国情况其中.
阅读文化我们使用大小.安全发现其他以下谢谢威望.怎么中心方面手机正在点击准备."
82,1610,查询,soil_test_data,9254,用户查询soil_test_data数据,167.14.80.13,"Mozilla/5.0 (Linux; Android 2.3.7) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/47.0.811.0 Safari/535.0",2025-04-08 21:42:57,3.094,失败,"没有能力有关中心不是中文大学.广告方法所有数据进入规定那么价格.一个如此广告自己应该完全.
只要商品科技生产.质量但是显示评论行业我们开始不同."
83,260,新增,soil_samples,128,用户新增soil_samples数据,142.253.82.20,Opera/8.87.(X11; Linux x86_64; zu-ZA) Presto/2.9.186 Version/11.00,2025-03-29 18:15:35,1.89,成功,
84,624,导出,soil_samples,337,用户导出soil_samples数据,45.143.16.39,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_7) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/55.0.888.0 Safari/536.2",2025-03-29 02:27:05,2.374,成功,
85,1384,查询,crop_suitability,6570,用户查询crop_suitability数据,87.150.103.115,"Mozilla/5.0 (Linux; Android 7.0) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/35.0.893.0 Safari/533.2",2024-07-12 20:53:43,1.637,警告,
86,432,导出,crop_suitability,8523,用户导出crop_suitability数据,72.150.204.98,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/40.0.884.0 Safari/536.2",2024-10-27 16:56:05,2.495,警告,
87,224,新增,fertilizer_plans,5890,用户新增fertilizer_plans数据,126.172.138.242,Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/3.0),2024-10-03 09:54:49,4.492,失败,"一下的话以及一些更多拥有.
管理游戏以下发表.情况显示谢谢都是手机.
广告进入通过结果责任我们得到.控制这个规定今天.应用发生进行注册部门信息."
88,116,导出,crop_suitability,7121,用户导出crop_suitability数据,142.179.179.169,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_6) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/57.0.804.0 Safari/531.0",2025-01-21 00:07:34,4.667,成功,
89,1048,新增,crop_suitability,7180,用户新增crop_suitability数据,218.159.199.94,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/34.0.844.0 Safari/531.0",2025-04-07 17:15:34,4.385,成功,
90,1288,新增,fertilizer_plans,9782,用户新增fertilizer_plans数据,30.185.97.223,Opera/8.58.(Windows CE; mi-NZ) Presto/2.9.168 Version/10.00,2025-03-01 17:26:54,1.141,警告,
91,878,删除,fertilizer_plans,5547,用户删除fertilizer_plans数据,118.42.233.150,Mozilla/5.0 (Windows NT 10.0; doi-IN; rv:1.9.0.20) Gecko/9772-03-11 19:52:11 Firefox/3.8,2024-10-05 01:14:24,3.403,成功,
92,536,查询,soil_samples,1296,用户查询soil_samples数据,176.236.223.196,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/57.0.818.0 Safari/535.2",2025-05-24 03:19:23,4.962,失败,"实现下载下载帮助.发现查看一点手机如果登录.计划公司联系问题可以次数.
手机单位本站无法.如此不能论坛.可以法律以及最大已经完全地方.
分析个人那么东西解决出来制作."
93,1422,修改,crop_suitability,2611,用户修改crop_suitability数据,72.193.103.80,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_7; rv:1.9.4.20) Gecko/7677-07-26 15:11:55 Firefox/3.6.16,2025-01-28 08:32:13,1.975,警告,
94,1854,删除,crop_suitability,7959,用户删除crop_suitability数据,19.87.4.193,Opera/9.93.(X11; Linux x86_64; sat-IN) Presto/2.9.190 Version/11.00,2024-07-17 08:48:09,0.283,成功,
95,556,查询,fertilizer_plans,901,用户查询fertilizer_plans数据,52.187.148.37,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_4 rv:3.0; fr-CA) AppleWebKit/534.4.7 (KHTML, like Gecko) Version/5.0.4 Safari/534.4.7",2025-01-29 07:51:18,0.399,失败,"能力或者中心.组织电脑政府.次数查看应用公司不同那么.
关于一些搜索会员.只是知道完全.
全部这里有限增加空间.任何当然科技类别发布联系拥有.基本看到电子增加报告文章."
96,475,生成报告,fertilizer_plans,4235,用户生成报告fertilizer_plans数据,93.40.190.91,Opera/8.43.(X11; Linux i686; yo-NG) Presto/2.9.167 Version/11.00,2024-12-24 00:22:21,2.59,失败,"日期全国完成经验成为由于只有.无法显示或者上海可是.能力如果政府需要正在.进入项目方面系统.
今年公司支持以后状态功能.评论目前用户这是以及.还有技术能力一切空间一切很多."
